region,sub_region,country,state_province,city
Africa,"Central Africa",Angola,Luanda,LUANDA
Africa,"Central Africa",Cameroon,,BAMENDA
Africa,"Central Africa",Cameroon,Littoral,DOUALA
Africa,"Central Africa",Cameroon,,KUMBA
Africa,"Central Africa",Cameroon,,YAOUNDE
Africa,"Central Africa","Cenral African Republic",Bangui,BANGUI
Africa,"Central Africa",Gabon,,LIBREVILLE
Africa,"East Africa",Burundi,,BUJUMBURA
Africa,"East Africa",Djibouti,,DJIBOUTI
Africa,"East Africa",Ethiopia,"Addis Ababa","ADDIS ABABA"
Africa,"East Africa",Ethiopia,,NAZARETH
Africa,"East Africa",Kenya,,ELDORET
Africa,"East Africa",Kenya,,KISUMU
Africa,"East Africa",Kenya,,MOMBASA
Africa,"East Africa",Kenya,"Nairobi Area",NAIROBI
Africa,"East Africa",Kenya,,NAKURU
Africa,"East Africa",Kenya,,NGONG
Africa,"East Africa",Kenya,,THIKA
Africa,"East Africa",Rwanda,,BUTARE
Africa,"East Africa",Rwanda,Kigali,KIGALI
Africa,"East Africa",Somalia,Banaadir,MOGADISHU
Africa,"East Africa",Tanzania,"Dar es Salaam","DAR ES SALAAM"
Africa,"East Africa",Uganda,"Central Region",KAMPALA
Africa,"North Africa",Algeria,Algiers,ALGIERS
Africa,"North Africa",Egypt,,ASWAN
Africa,"North Africa",Egypt,Cairo,CAIRO
Africa,"North Africa",Egypt,,"PORT SAID"
Africa,"North Africa",Libya,Tripoli,TRIPOLI
Africa,"North Africa",Morocco,,AGADIR
Africa,"North Africa",Morocco,"Grand Casablanca",CASABLANCA
Africa,"North Africa",Morocco,,NADOR
Africa,"North Africa",Morocco,,RABAT
Africa,"North Africa",Sudan,,KHARTOUM
Africa,"North Africa",Tunisia,Tunis,TUNIS
Africa,"Southern Africa",Botswana,,GABORONE
Africa,"Southern Africa",Madagascar,Analamanga,ANTANANARIVO
Africa,"Southern Africa",Malawi,,LILONGWE
Africa,"Southern Africa",Mauritius,,"PORT LOUIS"
Africa,"Southern Africa",Mozambique,,MAPUTO
Africa,"Southern Africa",Mozambique,,MATOLA
Africa,"Southern Africa",Mozambique,,TETE
Africa,"Southern Africa",Namibia,Khomas,WINDHOEK
Africa,"Southern Africa","South Africa",Gauteng,BENONI
Africa,"Southern Africa","South Africa","Free State",BETHLEHEM
Africa,"Southern Africa","South Africa","Free State",BLOEMFONTEIN
Africa,"Southern Africa","South Africa",Gauteng,BOKSBURG
Africa,"Southern Africa","South Africa","Western Cape","CAPE TOWN"
Africa,"Southern Africa","South Africa",Kwazulu-Natal,DURBAN
Africa,"Southern Africa","South Africa","Eastern Cape","EAST LONDON"
Africa,"Southern Africa","South Africa","Western Cape",GEORGE
Africa,"Southern Africa","South Africa","Eastern Cape",GRAHAMSTOWN
Africa,"Southern Africa","South Africa",Gauteng,JOHANNESBURG
